DivisionID,DivisionNm,GivenNm,Surname,BallotPosition,Elected,PartyAb,PartyNm,TotalVotes
90,Warrego,Joshua,SANDERSON,2,N,Queensland Greens,The Greens,569
90,Warrego,Mark,STONE,3,N,Independent,IND,487
90,Warrego,Joshua,COYNE,4,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,2224
90,Warrego,Ann,LEAHY,5,Y,Liberal National Party of Queensland,LNP,14100
90,Warrego,Mark,O'BRIEN,6,N,Australian Labor Party (State of Queensland),Australian Labor Party,4966
91,Waterford,Informal,Informal,0,N,Informal,Informal,1463
91,Waterford,Andrew,CASWELL,1,N,Liberal National Party of Queensland,LNP,6902
91,Waterford,Lachlan,SMART,2,N,Queensland Greens,The Greens,1882
91,Waterford,Shannon,FENTIMAN,3,Y,Australian Labor Party (State of Queensland),Australian Labor Party,14759
91,Waterford,Kim,MILLER,4,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,2442
91,Waterford,Ben,OLSEN,5,N,Civil Liberties & Motorists Party,CLMP,400
91,Waterford,Lanai,CARTER,6,N,Independent,IND,688
92,Whitsunday,Informal,Informal,0,N,Informal,Informal,1114
92,Whitsunday,Paul,HILDER,1,N,Legalise Cannabis Qld (Party),LCQP,1417
92,Whitsunday,Amanda,CAMM,2,Y,Liberal National Party of Queensland,LNP,9592
92,Whitsunday,Greg,ARMSTRONG,3,N,Clive Palmer's United Australia Party,Clive Palmer's UAP,255
92,Whitsunday,Emma,BARRETT,4,N,Queensland Greens,The Greens,1134
92,Whitsunday,Angie,KELLY,5,N,Australian Labor Party (State of Queensland),Australian Labor Party,9523
92,Whitsunday,Deb,LAWSON,6,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,2742
92,Whitsunday,Jason,COSTIGAN,7,N,North Queensland First,NQF,2735
92,Whitsunday,Ciaron,PATERSON,8,N,Katter's Australian Party (KAP),KAP,1803
93,Woodridge,Informal,Informal,0,N,Informal,Informal,1634
93,Woodridge,Cameron,DICK,1,Y,Australian Labor Party (State of Queensland),Australian Labor Party,18935
93,Woodridge,Russell,BAUER,2,N,Liberal National Party of Queensland,LNP,4249
93,Woodridge,Valerie,BENNETT,3,N,Queensland Greens,The Greens,2084
93,Woodridge,Lann,VALENTINE,4,N,Pauline Hanson's One Nation Queensland Division,Pauline Hanson's One Nation,3006
