2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"QLD","159","Fadden","0","ABSENT","1","3","35975","O'BRIEN","Nathan Grant","UAPP","United Australia Party","N","Transfer Count","26"
"QLD","159","Fadden","0","ABSENT","1","3","35975","O'BRIEN","Nathan Grant","UAPP","United Australia Party","N","Transfer Percent","18.440"
"QLD","159","Fadden","0","ABSENT","1","4","38226","ROACH","Sandra Jane","ON","Pauline Hanson's One Nation","N","Preference Count","418"
"QLD","159","Fadden","0","ABSENT","1","4","38226","ROACH","Sandra Jane","ON","Pauline Hanson's One Nation","N","Preference Percent","12.190"
"QLD","159","Fadden","0","ABSENT","1","4","38226","ROACH","Sandra Jane","ON","Pauline Hanson's One Nation","N","Transfer Count","18"
"QLD","159","Fadden","0","ABSENT","1","4","38226","ROACH","Sandra Jane","ON","Pauline Hanson's One Nation","N","Transfer Percent","12.770"
"QLD","159","Fadden","0","ABSENT","1","5","37495","ROBERT","Stuart Rowland","LNP","Liberal National Party of Queensland","Y","Preference Count","1008"
"QLD","159","Fadden","0","ABSENT","1","5","37495","ROBERT","Stuart Rowland","LNP","Liberal National Party of Queensland","Y","Preference Percent","29.400"
"QLD","159","Fadden","0","ABSENT","1","5","37495","ROBERT","Stuart Rowland","LNP","Liberal National Party of Queensland","Y","Transfer Count","53"
"QLD","159","Fadden","0","ABSENT","1","5","37495","ROBERT","Stuart Rowland","LNP","Liberal National Party of Queensland","Y","Transfer Percent","37.590"
"QLD","159","Fadden","0","ABSENT","1","6","37349","SPAIN","Sally Maree","GRN","Queensland Greens","N","Preference Count","655"
"QLD","159","Fadden","0","ABSENT","1","6","37349","SPAIN","Sally Maree","GRN","Queensland Greens","N","Preference Percent","19.100"
"QLD","159","Fadden","0","ABSENT","1","6","37349","SPAIN","Sally Maree","GRN","Queensland Greens","N","Transfer Count","19"
"QLD","159","Fadden","0","ABSENT","1","6","37349","SPAIN","Sally Maree","GRN","Queensland Greens","N","Transfer Percent","13.480"
"QLD","159","Fadden","0","ABSENT","1","7","37299","FORBES","Alexander George","LDP","Liberal Democratic Party","N","Preference Count","0"
"QLD","159","Fadden","0","ABSENT","1","7","37299","FORBES","Alexander George","LDP","Liberal Democratic Party","N","Preference Percent","0.000"
"QLD","159","Fadden","0","ABSENT","1","7","37299","FORBES","Alexander George","LDP","Liberal Democratic Party","N","Transfer Count","-141"
"QLD","159","Fadden","0","ABSENT","1","7","37299","FORBES","Alexander George","LDP","Liberal Democratic Party","N","Transfer Percent","-100.000"
"QLD","159","Fadden","0","ABSENT","2","1","37695","BROOKER","Stewart Gordon","IND","Independent","N","Preference Count","0"
"QLD","159","Fadden","0","ABSENT","2","1","37695","BROOKER","Stewart Gordon","IND","Independent","N","Preference Percent","0.000"
"QLD","159","Fadden","0","ABSENT","2","1","37695","BROOKER","Stewart Gordon","IND","Independent","N","Transfer Count","-246"
"QLD","159","Fadden","0","ABSENT","2","1","37695","BROOKER","Stewart Gordon","IND","Independent","N","Transfer Percent","-100.000"
"QLD","159","Fadden","0","ABSENT","2","2","37238","DEL FABBRO","Letitia Anne","ALP","Australian Labor Party (State of Queensland)","N","Preference Count","831"
"QLD","159","Fadden","0","ABSENT","2","2","37238","DEL FABBRO","Letitia Anne","ALP","Australian Labor Party (State of Queensland)","N","Preference Percent","24.230"
"QLD","159","Fadden","0","ABSENT","2","2","37238","DEL FABBRO","Letitia Anne","ALP","Australian Labor Party (State of Queensland)","N","Transfer Count","80"
"QLD","159","Fadden","0","ABSENT","2","2","37238","DEL FABBRO","Letitia Anne","ALP","Australian Labor Party (State of Queensland)","N","Transfer Percent","32.520"
"QLD","159","Fadden","0","ABSENT","2","3","35975","O'BRIEN","Nathan Grant","UAPP","United Australia Party","N","Preference Count","397"
