DivisionID,DivisionNm,GivenNm,Surname,BallotPosition,Elected,PartyAb,PartyNm,TotalVotes
16,MOOROOKA,Warren,CRAZE,4,N,LNP,Liberal National Party of Queensland,5234
17,MORNINGSIDE,Informal,Informal,0,N,Informal,Informal,445
17,MORNINGSIDE,Toby,MOORE,1,N,LNP,Liberal National Party of Queensland,8242
17,MORNINGSIDE,Rolf,KUELSEN,2,N,GRN,Queensland Greens,3390
17,MORNINGSIDE,Kara,COOK,3,Y,ALP,Australian Labor Party (State of Queensland),10677
18,NORTHGATE,Informal,Informal,0,N,Informal,Informal,666
18,NORTHGATE,Reg,NEIL,1,N,ALP,Australian Labor Party (State of Queensland),8810
18,NORTHGATE,Adam,ALLAN,2,Y,LNP,Liberal National Party of Queensland,11315
18,NORTHGATE,Jim,DAVIES,3,N,GRN,Queensland Greens,4106
19,PADDINGTON,Informal,Informal,0,N,Informal,Informal,347
19,PADDINGTON,Donna,BURNS,1,N,GRN,Queensland Greens,8984
19,PADDINGTON,Peter,MATIC,2,Y,LNP,Liberal National Party of Queensland,10629
19,PADDINGTON,Jeff,EELKEMA,3,N,ALP,Australian Labor Party (State of Queensland),3775
20,PULLENVALE,Informal,Informal,0,N,Informal,Informal,618
20,PULLENVALE,Jordan,MARK,1,N,ALP,Australian Labor Party (State of Queensland),3643
20,PULLENVALE,Greg,ADERMANN,2,Y,LNP,Liberal National Party of Queensland,10686
20,PULLENVALE,Kate,RICHARDS,3,N,IND,Independent,5060
20,PULLENVALE,Charles,DRUCKMANN,4,N,GRN,Queensland Greens,6252
21,RUNCORN,Informal,Informal,0,N,Informal,Informal,698
21,RUNCORN,John,PRESCOTT,1,N,ALP,Australian Labor Party (State of Queensland),8491
21,RUNCORN,Kim,MARX,2,Y,LNP,Liberal National Party of Queensland,12949
21,RUNCORN,Nicola,GORDON,3,N,GRN,Queensland Greens,2482
22,TENNYSON,Informal,Informal,0,N,Informal,Informal,383
22,TENNYSON,Maurice,LANE,1,N,LNP,Liberal National Party of Queensland,4394
22,TENNYSON,Patsy,O'BRIEN,2,N,GRN,Queensland Greens,3058
22,TENNYSON,Jackie,SCHNEIDER,3,N,ALP,Australian Labor Party (State of Queensland),3212
22,TENNYSON,Nicole,JOHNSTON,4,Y,IND,Independent,11571
22,TENNYSON,Darryl,PROUT,5,N,Animal Justice Party,Animal Justice Party (Queensland),428
23,THE GABBA,Informal,Informal,0,N,Informal,Informal,495
23,THE GABBA,Nathaniel,JONES,1,N,LNP,Liberal National Party of Queensland,6060
23,THE GABBA,Rachel,GALLAGHER,2,N,ALP,Australian Labor Party (State of Queensland),5136
23,THE GABBA,Jonathan,SRI,3,Y,GRN,Queensland Greens,9383
24,THE GAP,Informal,Informal,0,N,Informal,Informal,504
24,THE GAP,Steven,TOOMEY,1,Y,LNP,Liberal National Party of Queensland,12872
24,THE GAP,Allen,HASSALL,2,N,IND,Independent,443
24,THE GAP,Daniel,BEVIS,3,N,ALP,Australian Labor Party (State of Queensland),7822
24,THE GAP,Rebecca,HALEY,4,N,GRN,Queensland Greens,4317
25,WALTER TAYLOR,Informal,Informal,0,N,Informal,Informal,412
25,WALTER TAYLOR,Karthika,RAGHWAN,1,N,ALP,Australian Labor Party (State of Queensland),3582
25,WALTER TAYLOR,Michaela,SARGENT,2,N,GRN,Queensland Greens,8147
25,WALTER TAYLOR,James,MACKAY,3,Y,LNP,Liberal National Party of Queensland,10957
25,WALTER TAYLOR,Matt,ANTONIOLLI,4,N,IND,Independent,684
26,WYNNUM-MANLY,Informal,Informal,0,N,Informal,Informal,537
26,WYNNUM-MANLY,Megan,PICCARDI,1,N,LNP,Liberal National Party of Queensland,8292
26,WYNNUM-MANLY,Ken,AUSTIN,2,N,GRN,Queensland Greens,2355
26,WYNNUM-MANLY,Peter,CUMMING,3,Y,ALP,Australian Labor Party (State of Queensland),12436
