DivisionNm,CountNumber,BallotPosition,Surname,GivenNm,PartyAb,PartyNm,Elected,PreferenceCount,PreferencePercent,TransferCount,TransferPercent,Winner,DistributingBallotPosition,DistributingSurname,DistributingGivenNm,DistributingPartyAb,DistributingPartyNm
Brisbane City Coorparoo,1,1,CAMPBELL,Matt,ALP,Australian Labor Party (State of Queensland),N,0,0,-6484,-100.0,LNP,1,CAMPBELL,Matt,ALP,Australian Labor Party (State of Queensland)
Brisbane City Coorparoo,1,2,CUNNINGHAM,Fiona,LNP,Liberal National Party of Queensland,Y,11338,55.67,763,11.77,LNP,1,CAMPBELL,Matt,ALP,Australian Labor Party (State of Queensland)
Brisbane City Coorparoo,1,3,DILLON,Sally,GRN,Queensland Greens,N,9030,44.33,2521,38.88,LNP,1,CAMPBELL,Matt,ALP,Australian Labor Party (State of Queensland)
Brisbane City Coorparoo,1,4,Exhausted,Exhausted,Exhausted,Exhausted,N,3200,13.58,3200,49.35,LNP,1,CAMPBELL,Matt,ALP,Australian Labor Party (State of Queensland)
Brisbane City Deagon,0,1,CASSIDY,Jared,ALP,Australian Labor Party (State of Queensland),Y,13127,51.34,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Deagon,0,2,WASHINGTON,Kimberley,LNP,Liberal National Party of Queensland,N,8919,34.88,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Deagon,0,3,MOLONEY,Kathy,,Motorists Party,N,586,2.29,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Deagon,0,4,WALSH,Anthony,GRN,Queensland Greens,N,2935,11.48,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Deagon,0,5,Exhausted,Exhausted,Exhausted,Exhausted,N,0,0,0,0,ALP,First Pref,First Pref,First Pref,First Pref,First Pref
Brisbane City Deagon,1,1,CASSIDY,Jared,ALP,Australian Labor Party (State of Queensland),Y,13204,52.34,77,13.14,ALP,3,MOLONEY,Kathy,,Motorists Party
