DivisionID,DivisionNm,GivenNm,Surname,BallotPosition,Elected,PartyAb,PartyNm,TotalVotes
8,ENOGGERA,Informal,Informal,0,N,Informal,Informal,517
8,ENOGGERA,Jonty,BUSH,1,N,Australian Labor Party (State of Queensland),Australian Labor Party,8169
8,ENOGGERA,Andrew,WINES,2,Y,Liberal National Party of Queensland,LNP,10703
8,ENOGGERA,Craig,WHITEMAN,3,N,Independent,IND,645
8,ENOGGERA,Ell-Leigh,ACKERMAN,4,N,Queensland Greens,The Greens,3821
8,ENOGGERA,Kristin,PERISSINOTTO,5,N,Independent,IND,387
9,FOREST LAKE,Informal,Informal,0,N,Informal,Informal,1044
9,FOREST LAKE,Jenny,MULKEARNS,1,N,Queensland Greens,The Greens,3920
9,FOREST LAKE,Roger,HOOPER,2,N,Liberal National Party of Queensland,LNP,7399
9,FOREST LAKE,Charles,STRUNK,3,Y,Australian Labor Party (State of Queensland),Australian Labor Party,12667
10,HAMILTON,Informal,Informal,0,N,Informal,Informal,519
10,HAMILTON,Miranda,BERTRAM,1,N,Queensland Greens,The Greens,3632
10,HAMILTON,David,MCLACHLAN,2,Y,Liberal National Party of Queensland,LNP,14101
10,HAMILTON,Leah,MALZARD,3,N,Australian Labor Party (State of Queensland),Australian Labor Party,4389
11,HOLLAND PARK,Informal,Informal,0,N,Informal,Informal,580
11,HOLLAND PARK,Karleigh,AUGUSTON,1,N,Australian Labor Party (State of Queensland),Australian Labor Party,7323
11,HOLLAND PARK,Jenny,GAMBLE,2,N,Queensland Greens,The Greens,4975
11,HOLLAND PARK,Krista,ADAMS,3,Y,Liberal National Party of Queensland,LNP,11553
12,JAMBOREE,Informal,Informal,0,N,Informal,Informal,750
12,JAMBOREE,Sarah,HUTTON,1,Y,Liberal National Party of Queensland,LNP,13455
12,JAMBOREE,Thomas,MCKIE,2,N,Queensland Greens,The Greens,3039
12,JAMBOREE,Rachel,HOPPE,3,N,Australian Labor Party (State of Queensland),Australian Labor Party,7996
13,MCDOWALL,Informal,Informal,0,N,Informal,Informal,580
13,MCDOWALL,Liam,CULVERHOUSE,1,N,Australian Labor Party (State of Queensland),Australian Labor Party,7380
13,MCDOWALL,Tracy,DAVIS,2,Y,Liberal National Party of Queensland,LNP,14693
13,MCDOWALL,Joshua,SANDERSON,3,N,Queensland Greens,The Greens,2754
14,MACGREGOR,Informal,Informal,0,N,Informal,Informal,630
14,MACGREGOR,Sean,WOMERSLEY,1,N,Queensland Greens,The Greens,2666
14,MACGREGOR,Trent,MCTIERNAN,2,N,Australian Labor Party (State of Queensland),Australian Labor Party,6460
14,MACGREGOR,Steven,HUANG,3,Y,Liberal National Party of Queensland,LNP,13345
15,MARCHANT,Informal,Informal,0,N,Informal,Informal,676
15,MARCHANT,Susan,LYNCH,1,N,Australian Labor Party (State of Queensland),Australian Labor Party,7842
15,MARCHANT,John,MEYER,2,N,Queensland Greens,The Greens,4331
15,MARCHANT,Fiona,HAMMOND,3,Y,Liberal National Party of Queensland,LNP,11870
16,MOOROOKA,Informal,Informal,0,N,Informal,Informal,727
16,MOOROOKA,Steve,GRIFFITHS,1,Y,Australian Labor Party (State of Queensland),Australian Labor Party,10416
16,MOOROOKA,Brett,GILLESPIE,2,N,Independent,IND,1000
16,MOOROOKA,Claire,GARTON,3,N,Queensland Greens,The Greens,4209
16,MOOROOKA,Warren,CRAZE,4,N,Liberal National Party of Queensland,LNP,5234
17,MORNINGSIDE,Informal,Informal,0,N,Informal,Informal,445
17,MORNINGSIDE,Toby,MOORE,1,N,Liberal National Party of Queensland,LNP,8242
17,MORNINGSIDE,Rolf,KUELSEN,2,N,Queensland Greens,The Greens,3390
17,MORNINGSIDE,Kara,COOK,3,Y,Australian Labor Party (State of Queensland),Australian Labor Party,10677
18,NORTHGATE,Informal,Informal,0,N,Informal,Informal,666
18,NORTHGATE,Reg,NEIL,1,N,Australian Labor Party (State of Queensland),Australian Labor Party,8810
18,NORTHGATE,Adam,ALLAN,2,Y,Liberal National Party of Queensland,LNP,11315
18,NORTHGATE,Jim,DAVIES,3,N,Queensland Greens,The Greens,4106
19,PADDINGTON,Informal,Informal,0,N,Informal,Informal,347
19,PADDINGTON,Donna,BURNS,1,N,Queensland Greens,The Greens,8984
19,PADDINGTON,Peter,MATIC,2,Y,Liberal National Party of Queensland,LNP,10629
19,PADDINGTON,Jeff,EELKEMA,3,N,Australian Labor Party (State of Queensland),Australian Labor Party,3775
20,PULLENVALE,Informal,Informal,0,N,Informal,Informal,618
20,PULLENVALE,Jordan,MARK,1,N,Australian Labor Party (State of Queensland),Australian Labor Party,3643
20,PULLENVALE,Greg,ADERMANN,2,Y,Liberal National Party of Queensland,LNP,10686
20,PULLENVALE,Kate,RICHARDS,3,N,Independent,IND,5060
20,PULLENVALE,Charles,DRUCKMANN,4,N,Queensland Greens,The Greens,6252
21,RUNCORN,Informal,Informal,0,N,Informal,Informal,698
21,RUNCORN,John,PRESCOTT,1,N,Australian Labor Party (State of Queensland),Australian Labor Party,8491
21,RUNCORN,Kim,MARX,2,Y,Liberal National Party of Queensland,LNP,12949
21,RUNCORN,Nicola,GORDON,3,N,Queensland Greens,The Greens,2482
22,TENNYSON,Informal,Informal,0,N,Informal,Informal,383
22,TENNYSON,Maurice,LANE,1,N,Liberal National Party of Queensland,LNP,4394
22,TENNYSON,Patsy,O'BRIEN,2,N,Queensland Greens,The Greens,3058
22,TENNYSON,Jackie,SCHNEIDER,3,N,Australian Labor Party (State of Queensland),Australian Labor Party,3212
