DivisionID,DivisionNm,GivenNm,Surname,BallotPosition,Elected,PartyNm,PartyAb,TotalVotes
156,Brisbane,Trevor,EVANS,5,N,Liberal National Party of Queensland,LNP,41032
156,Brisbane,Trevor,HOLD,6,N,Pauline Hanson's One Nation,ON,2429
156,Brisbane,Anthony,BULL,7,N,Liberal Democrats,LDP,1807
156,Brisbane,Informal,Informal,999,N,Independent,,2312
157,Capricornia,Kylee,STANTON,1,N,Pauline Hanson's One Nation,ON,13179
157,Capricornia,Paula,GANFIELD,2,N,Informed Medical Options Party,IMO,1126
157,Capricornia,Mick,JONES,3,N,Queensland Greens,GRN,5302
157,Capricornia,Russell,ROBERTSON,4,N,Australian Labor Party,ALP,25330
157,Capricornia,Steve,MURPHY,5,N,Liberal Democrats,LDP,1392
157,Capricornia,Ken,MURRAY,6,N,Independent,IND,3048
157,Capricornia,Nathan Luke,HARDING,7,N,United Australia Party,UAPP,3555
157,Capricornia,Michelle,LANDRY,8,Y,Liberal National Party of Queensland,LNP,35613
157,Capricornia,Zteven,WHITTY,9,N,The Great Australian Party,GAP,1747
157,Capricornia,Informal,Informal,999,N,Independent,,5904
158,Dawson,Andrew,WILLCOX,1,Y,Liberal National Party of Queensland,LNP,40109
158,Dawson,Julie,HALL,2,N,Pauline Hanson's One Nation,ON,12289
158,Dawson,Shane,HAMILTON,3,N,Australian Labor Party,ALP,22650
158,Dawson,Jim,JACKSON,4,N,The Great Australian Party,GAP,1948
158,Dawson,Christian Nigel,YOUNG,5,N,United Australia Party,UAPP,3713
158,Dawson,Ciaron,PATERSON,6,N,Katter's Australian Party (KAP),KAP,5189
158,Dawson,Paula,CREEN,7,N,Queensland Greens,GRN,6675
158,Dawson,Informal,Informal,999,N,Independent,,4001
252,Dickson,Alan,BUCHBACH,1,N,Independent,IND,2222
252,Dickson,Lloyd,RUSSELL,2,N,Liberal Democrats,LDP,1236
252,Dickson,Peter,DUTTON,3,Y,Liberal National Party of Queensland,LNP,41657
252,Dickson,Thor,PROHASKA,4,N,Independent,IND,1618
252,Dickson,Tamera,GIBSON,5,N,Pauline Hanson's One Nation,ON,5312
252,Dickson,Alina Karen,WARD,6,N,United Australia Party,UAPP,2717
252,Dickson,Ali,FRANCE,7,N,Australian Labor Party,ALP,31396
252,Dickson,Vinnie,BATTEN,8,N,Queensland Greens,GRN,12871
252,Dickson,Informal,Informal,999,N,Independent,,3996
159,Fadden,Stewart Gordon,BROOKER,1,N,Independent,IND,4407
159,Fadden,Letitia,DEL FABBRO,2,N,Australian Labor Party,ALP,23638
159,Fadden,Nathan Grant,O'BRIEN,3,N,United Australia Party,UAPP,7014
159,Fadden,Sandy,ROACH,4,N,Pauline Hanson's One Nation,ON,9177
159,Fadden,Stuart,ROBERT,5,Y,Liberal National Party of Queensland,LNP,47190
159,Fadden,Sally,SPAIN,6,N,Queensland Greens,GRN,11353
159,Fadden,Alex,FORBES,7,N,Liberal Democrats,LDP,2992
159,Fadden,Informal,Informal,999,N,Independent,,4760
160,Fairfax,Ted,O'BRIEN,1,Y,Liberal National Party of Queensland,LNP,46551
160,Fairfax,Wendy,HAZELTON,2,N,Informed Medical Options Party,IMO,1997
160,Fairfax,Tash,POOLE,3,N,Animal Justice Party,AJP,2182
160,Fairfax,Barry,SMITH,4,N,Independent,IND,1423
160,Fairfax,Sue,ETHERIDGE,5,N,Queensland Greens,GRN,13862
160,Fairfax,Sinim Barbara,AUSTRALIE,6,N,Independent,IND,733
160,Fairfax,Lisa,KHOURY,7,N,United Australia Party,UAPP,6132
160,Fairfax,Sue,FERGUSON,8,N,Australian Labor Party,ALP,22662
160,Fairfax,Craig,WHITE,9,N,The Great Australian Party,GAP,1319
160,Fairfax,Nikki,CIVITARESE,10,N,Pauline Hanson's One Nation,ON,6798
160,Fairfax,Informal,Informal,999,N,Independent,,6066
161,Fisher,Sam,SCHRIEVER,1,N,Pauline Hanson's One Nation,ON,10102
161,Fisher,Judene,ANDREWS,2,N,Australian Labor Party,ALP,25313
161,Fisher,Andrew,WALLACE,3,Y,Liberal National Party of Queensland,LNP,48013
161,Fisher,Vickie,BRECKENRIDGE,4,N,Animal Justice Party,AJP,2730
161,Fisher,Renay,WELLS,5,N,Queensland Greens,GRN,14981
161,Fisher,Tony Richard,MOORE,6,N,United Australia Party,UAPP,7355
161,Fisher,Informal,Informal,999,N,Independent,,3530
311,Flynn,Matt,BURNETT,1,N,Australian Labor Party,ALP,30948
311,Flynn,Paul,BAMBRICK,2,N,Queensland Greens,GRN,4007
311,Flynn,Carla,SVENDSEN,3,N,The Great Australian Party,GAP,2012
311,Flynn,Sharon,LOHSE,4,N,Pauline Hanson's One Nation,ON,11287
311,Flynn,Duncan,SCOTT,5,N,Independent,IND,3745
311,Flynn,Tanya Maree,WIEDEN,6,N,United Australia Party,UAPP,6266
311,Flynn,Colin,BOYCE,7,Y,Liberal National Party of Queensland,LNP,34046
311,Flynn,Informal,Informal,999,N,Independent,,3672
162,Forde,Roxanne,O'HALLORAN,1,N,United Australia Party,UAPP,7485
162,Forde,Bert,VAN MANEN,2,Y,Liberal National Party of Queensland,LNP,34920
162,Forde,Jordan,HALL,3,N,Queensland Greens,GRN,9319
162,Forde,Samuel,HOLLAND,4,N,TNL,TNL,728
162,Forde,Rowan,HOLZBERGER,5,N,Australian Labor Party,ALP,26497
162,Forde,Seschelle,MATTERSON,6,N,Pauline Hanson's One Nation,ON,7578
162,Forde,Tobby,SUTHERLAND,7,N,Liberal Democrats,LDP,2668
162,Forde,Christopher,GREAVES,8,N,Independent,IND,2973
162,Forde,Linda,McCARTHY,9,N,Animal Justice Party,AJP,2444
162,Forde,Informal,Informal,999,N,Independent,,6884
163,Griffith,Shari,WARE,1,N,Pauline Hanson's One Nation,ON,3504
163,Griffith,Max,CHANDLER-MATHER,2,Y,Queensland Greens,GRN,36771
163,Griffith,Terri,BUTLER,3,N,Australian Labor Party,ALP,30769
163,Griffith,Robert Gordon,McMULLAN,4,N,United Australia Party,UAPP,2581
163,Griffith,Olivia,ROBERTS,5,N,Liberal National Party of Queensland,LNP,32685
163,Griffith,Informal,Informal,999,N,Independent,,2169
164,Groom,Ryan,OTTO,1,N,Australian Federation Party,CYA,1539
164,Groom,Grant,ABRAHAM,2,N,Pauline Hanson's One Nation,ON,9181
164,Groom,Mickey,BERRY,3,N,Queensland Greens,GRN,5616
164,Groom,Melissa,BANNISTER,4,N,United Australia Party,UAPP,4922
164,Groom,Kirstie,SMOLENSKI,5,N,Independent,IND,6858
164,Groom,Suzie,HOLT,6,N,Independent,IND,7932
164,Groom,Garth,HAMILTON,7,Y,Liberal National Party of Queensland,LNP,41971
164,Groom,Gen,ALLPASS,8,N,Australian Labor Party,ALP,17985
164,Groom,Informal,Informal,999,N,Independent,,4758
165,Herbert,Toni,McMAHON,1,N,Informed Medical Options Party,IMO,1658
165,Herbert,John,RING,2,N,Australian Labor Party,ALP,19971
165,Herbert,Scott,HUMPHREYS,3,N,Queensland Greens,GRN,7596
165,Herbert,Larna,BALLARD,4,N,The Great Australian Party,GAP,749
165,Herbert,Phillip,THOMPSON,5,Y,Liberal National Party of Queensland,LNP,43453
165,Herbert,Angela,EGAN,6,N,Independent,IND,2983
165,Herbert,Steven,CLARE,7,N,Independent,IND,942
165,Herbert,Greg Ian,DOWLING,8,N,United Australia Party,UAPP,2383
165,Herbert,Clynton,HAWKS,9,N,Katter's Australian Party (KAP),KAP,6472
165,Herbert,Toni,MCCORMACK,10,N,Animal Justice Party,AJP,1359
165,Herbert,Diane,PEPE,11,N,Pauline Hanson's One Nation,ON,4874
165,Herbert,Informal,Informal,999,N,Independent,,5658
166,Hinkler,Keith,PITT,1,Y,Liberal National Party of Queensland,LNP,42720
166,Hinkler,Kristie,NASH,2,N,United Australia Party,UAPP,7417
166,Hinkler,Zak,MENHENNETT,3,N,Pauline Hanson's One Nation,ON,8837
166,Hinkler,Jason,SCANES,4,N,Australian Labor Party,ALP,23634
166,Hinkler,Andrew,McLEAN,5,N,Queensland Greens,GRN,5562
166,Hinkler,Jack,DEMPSEY,6,N,Independent,IND,13236
166,Hinkler,Informal,Informal,999,N,Independent,,3431
167,Kennedy,Bob,KATTER,1,Y,Katter's Australian Party (KAP),KAP,39036
167,Kennedy,Bryce,MACDONALD,2,N,Liberal National Party of Queensland,LNP,26387
167,Kennedy,Jen,SACKLEY,3,N,Independent,IND,2981
167,Kennedy,Jennifer,COX,4,N,Queensland Greens,GRN,6013
167,Kennedy,Jason,BRANDON,5,N,Australian Labor Party,ALP,15033
167,Kennedy,Peter,CAMPION,6,N,United Australia Party,UAPP,4154
167,Kennedy,Informal,Informal,999,N,Independent,,3171
168,Leichhardt,Pat,O'SHANE,1,N,Socialist Alliance,SAL,3729
168,Leichhardt,Silvia,MOGOROVICH,2,N,Informed Medical Options Party,IMO,1641
168,Leichhardt,Warren,ENTSCH,3,Y,Liberal National Party of Queensland,LNP,33652
168,Leichhardt,Rod,JENSEN,4,N,Katter's Australian Party (KAP),KAP,5166
168,Leichhardt,Adam,CROPP,5,N,"FUSION: Science, Pirate, Secular, Climate Emergency",SOPA,930
168,Leichhardt,Susanne,BAYLY,6,N,Animal Justice Party,AJP,1253
168,Leichhardt,Phillip,MUSUMECI,7,N,Queensland Greens,GRN,9143
168,Leichhardt,Daniel Lucas,HANNAGAN,8,N,United Australia Party,UAPP,3593
168,Leichhardt,Geena,COURT,9,N,Pauline Hanson's One Nation,ON,6822
168,Leichhardt,Paul,ROE,10,N,Australian Federation Party,CYA,466
168,Leichhardt,Elida,FAITH,11,N,Australian Labor Party,ALP,25312
168,Leichhardt,Informal,Informal,999,N,Independent,,6715
169,Lilley,Gerardine Louise,HOOGLAND,1,N,United Australia Party,UAPP,3320
169,Lilley,Melissa,STEVENS,2,N,Queensland Greens,GRN,16916
169,Lilley,Vivian,LOBO,3,N,Liberal National Party of Queensland,LNP,29530
169,Lilley,Stephen,McGRATH,4,N,Informed Medical Options Party,IMO,1378
169,Lilley,Daniel,FRESHWATER,5,N,Liberal Democrats,LDP,2412
169,Lilley,Anika,WELLS,6,Y,Australian Labor Party,ALP,41424
169,Lilley,Michelle,WILDE,7,N,Pauline Hanson's One Nation,ON,4027
169,Lilley,Informal,Informal,999,N,Independent,,2750
302,Longman,Rebecca,FANNING,1,N,Australian Labor Party,ALP,34036
302,Longman,Stefanie Alexis,SUTHERLAND,2,N,United Australia Party,UAPP,5949
302,Longman,Nigel David,QUINLAN,3,N,Legalise Cannabis Australia,HMP,6025
302,Longman,Earl,SNIJDERS,4,N,Queensland Greens,GRN,7814
302,Longman,Ross,TAYLOR,5,N,Pauline Hanson's One Nation,ON,8917
302,Longman,Jens,LIPPONER,6,N,Liberal Democrats,LDP,2011
302,Longman,Paula,GILBARD,7,N,Animal Justice Party,AJP,2060
302,Longman,Terry,YOUNG,8,Y,Liberal National Party of Queensland,LNP,41253
302,Longman,Informal,Informal,999,N,Independent,,5677
170,Maranoa,David,LITTLEPROUD,1,Y,Liberal National Party of Queensland,LNP,52382
170,Maranoa,Malcolm J,RICHARDSON,2,N,"Shooters, Fishers and Farmers Party",ASP,3695
170,Maranoa,Dave,KERRIGAN,3,N,Australian Labor Party,ALP,14236
170,Maranoa,Nathan John,McDONALD,4,N,United Australia Party,UAPP,6202
170,Maranoa,Ellisa,PARKER,5,N,Queensland Greens,GRN,4533
170,Maranoa,Mike,KELLY,6,N,Pauline Hanson's One Nation,ON,11070
170,Maranoa,Brett James,TUNBRIDGE,7,N,Australian Federation Party,CYA,997
170,Maranoa,Informal,Informal,999,N,Independent,,3234
171,McPherson,Karen,ANDREWS,1,Y,Liberal National Party of Queensland,LNP,42288
171,McPherson,Kevin,HARGRAVES,2,N,Pauline Hanson's One Nation,ON,7013
171,McPherson,Gary,PEAD,3,N,Australian Federation Party,CYA,594
171,McPherson,Scott,TURNER,4,N,Queensland Greens,GRN,14971
171,McPherson,Andy,CULLEN,5,N,Australian Values Party,AUVA,2310
171,McPherson,Joshua Lawrence,BERRIGAN,6,N,United Australia Party,UAPP,6490
171,McPherson,Glenn,PYNE,7,N,Liberal Democrats,LDP,2063
171,McPherson,Carl,UNGERER,8,N,Australian Labor Party,ALP,21354
171,McPherson,Informal,Informal,999,N,Independent,,5565
172,Moncrieff,Angie,BELL,1,Y,Liberal National Party of Queensland,LNP,45104
172,Moncrieff,Leeanne,SCHULTZ,2,N,Pauline Hanson's One Nation,ON,6981
172,Moncrieff,James,TAYLER,3,N,Australian Federation Party,CYA,645
172,Moncrieff,Sonia Michelle,BERRY-LAW,4,N,Animal Justice Party,AJP,2384
172,Moncrieff,April,BROADBENT,5,N,Queensland Greens,GRN,11850
172,Moncrieff,Glen,PALMER,6,N,Australian Labor Party,ALP,20430
172,Moncrieff,Diane,DEMETRE,7,N,Liberal Democrats,LDP,4305
172,Moncrieff,Timothy,CUDMORE,8,N,Informed Medical Options Party,IMO,997
172,Moncrieff,Diane Olga,HAPP,9,N,United Australia Party,UAPP,5482
172,Moncrieff,Informal,Informal,999,N,Independent,,6020
173,Moreton,Peter,POWER,1,N,Australian Federation Party,CYA,1468
173,Moreton,Neil,SWANN,2,N,Pauline Hanson's One Nation,ON,3364
173,Moreton,Graham,PERRETT,3,Y,Australian Labor Party,ALP,34633
173,Moreton,Claire,GARTON,4,N,Queensland Greens,GRN,19250
173,Moreton,Steven,HUANG,5,N,Liberal National Party of Queensland,LNP,30777
173,Moreton,Chelsea,FOLLETT,6,N,United Australia Party,UAPP,3064
173,Moreton,Informal,Informal,999,N,Independent,,2625
174,Oxley,Timothy,COOMBES,1,N,United Australia Party,UAPP,5079
174,Oxley,Asha,WORSTELING,2,N,Queensland Greens,GRN,13595
174,Oxley,Kyle,MCMILLEN,3,N,Liberal National Party of Queensland,LNP,27385
174,Oxley,Dylan,KOZLOWSKI,4,N,Pauline Hanson's One Nation,ON,5568
174,Oxley,Milton,DICK,5,Y,Australian Labor Party,ALP,43785
174,Oxley,Informal,Informal,999,N,Independent,,3582
175,Petrie,Kelly Anne,GUENOUN,1,N,United Australia Party,UAPP,5914
175,Petrie,Will,SIMON,2,N,Queensland Greens,GRN,12169
175,Petrie,Anneke,WILSON,3,N,Liberal Democrats,LDP,2189
175,Petrie,Marcus,MITCHELL,4,N,Pauline Hanson's One Nation,ON,5613
175,Petrie,Mick,DENTON,5,N,Australian Labor Party,ALP,31972
175,Petrie,Luke,HOWARTH,6,Y,Liberal National Party of Queensland,LNP,46325
175,Petrie,Chris,CICCHITTI,7,N,Animal Justice Party,AJP,2331
175,Petrie,Informal,Informal,999,N,Independent,,3913
176,Rankin,Paul,DARWEN,1,N,Liberal National Party of Queensland,LNP,25478
176,Rankin,Neil,COTTER,2,N,Queensland Greens,GRN,9394
176,Rankin,Jeff,CRANK,3,N,United Australia Party,UAPP,5064
176,Rankin,Glen,COOKSON,4,N,Pauline Hanson's One Nation,ON,7006
176,Rankin,Suzanne,CLARKE,5,N,Animal Justice Party,AJP,2284
176,Rankin,Jim,CHALMERS,6,Y,Australian Labor Party,ALP,38596
176,Rankin,Informal,Informal,999,N,Independent,,3553
177,Ryan,Kathryn,POLLARD,1,N,United Australia Party,UAPP,2062
177,Ryan,Damian,COORY,2,N,Liberal Democrats,LDP,2582
177,Ryan,Janine,REES,3,N,Australian Progressives,AUP,606
177,Ryan,Joel,LOVE,4,N,Pauline Hanson's One Nation,ON,2237
177,Ryan,Jina,LIPMAN,5,N,Animal Justice Party,AJP,1088
177,Ryan,Elizabeth,WATSON-BROWN,6,Y,Queensland Greens,GRN,30003
177,Ryan,Peter,COSSAR,7,N,Australian Labor Party,ALP,22146
177,Ryan,Julian,SIMMONDS,8,N,Liberal National Party of Queensland,LNP,38239
177,Ryan,Axel,DANCOISNE,9,N,Australian Federation Party,CYA,353
177,Ryan,Informal,Informal,999,N,Independent,,3140
178,Wide Bay,Kelli,JACOBI,1,N,Independent,IND,4106
178,Wide Bay,Nathan,BUCKLEY,2,N,Pauline Hanson's One Nation,ON,9765
178,Wide Bay,Tracy,BENNETT,3,N,United Australia Party,UAPP,4406
178,Wide Bay,Craig,ARMSTRONG,4,N,Queensland Greens,GRN,9088
178,Wide Bay,Llew,O'BRIEN,5,Y,Liberal National Party of Queensland,LNP,41601
178,Wide Bay,John,WOODWARD,6,N,Australian Federation Party,CYA,501
178,Wide Bay,Tim,JEROME,7,N,Independent,IND,2737
178,Wide Bay,Daniel,WILLIAMS,9,N,Australian Values Party,AUVA,1057
178,Wide Bay,Andrea,NEWLAND,10,N,Informed Medical Options Party,IMO,2097
178,Wide Bay,Informal,Informal,999,N,Independent,,6569
316,Wright,Scott,BUCHHOLZ,1,Y,Liberal National Party of Queensland,LNP,45753
316,Wright,Cassandra Deanne,DUFFILL,2,N,United Australia Party,UAPP,8703
316,Wright,Keith,HICKS,3,N,Pauline Hanson's One Nation,ON,15095
316,Wright,Shonna-Lee,BANASIAK,4,N,Australian Federation Party,CYA,1632
316,Wright,Pam,McCREADIE,5,N,Australian Labor Party,ALP,22643
316,Wright,Nicole,THOMPSON,6,N,Queensland Greens,GRN,12107
316,Wright,Informal,Informal,999,N,Independent,,3733
179,Adelaide,Amy,GRANTHAM,1,N,Liberal,LP,36080
179,Adelaide,Steve,GEORGANAS,2,Y,Australian Labor Party,ALP,45086
179,Adelaide,Gayle,ALLWOOD,7,N,Pauline Hanson's One Nation,ON,3376
179,Adelaide,Matthew,McMILLAN,4,N,"FUSION: Science, Pirate, Secular, Climate Emergency",SOPA,1631
179,Adelaide,Rebecca,GALDIES,5,N,The Greens,GRN,22666
179,Adelaide,Faith,GERHARD,6,N,Australian Federation Party,CYA,870
179,Adelaide,Informal,Informal,999,N,Independent,,4438
180,Barker,Jonathan,PIETZSCH,1,N,National Party,NP,2531
180,Barker,Carlos,QUAREMBA,2,N,Pauline Hanson's One Nation,ON,6958
180,Barker,Vince,PANNELL,3,N,Independent,IND,1913
180,Barker,Maddy,FRY,4,N,Independent,IND,3190
180,Barker,Rosa,HILLAM,5,N,The Greens,GRN,7841
180,Barker,Tony,PASIN,6,Y,Liberal,LP,56330
180,Barker,David,SWIGGS,7,N,United Australia Party,UAPP,4222
180,Barker,Mark,BRAES,8,N,Australian Labor Party,ALP,22054
180,Barker,Kym,HANTON,9,N,Australian Federation Party,CYA,760
180,Barker,Informal,Informal,999,N,Independent,,7909
182,Boothby,Jeremy,CARTER,1,N,The Greens,GRN,17285
182,Boothby,Graeme,CLARK,2,N,United Australia Party,UAPP,2520
182,Boothby,Peter,HARRIS,3,N,Australian Federation Party,CYA,543
182,Boothby,Aleksandra,NIKOLIC,4,N,Liberal Democrats,LDP,1250
182,Boothby,Paul,BUSUTTIL,5,N,Independent,IND,1048
182,Boothby,Frankie,BRAY,6,N,Animal Justice Party,AJP,1358
182,Boothby,Rachel,SWIFT,7,N,Liberal,LP,43196
182,Boothby,Jo,DYER,8,N,Independent,IND,7441
182,Boothby,Louise,MILLER-FROST,9,Y,Australian Labor Party,ALP,36746
182,Boothby,Bob,COUCH,10,N,Pauline Hanson's One Nation,ON,2320
182,Boothby,Informal,Informal,999,N,Independent,,5289
183,Grey,Kerry Ann,WHITE,6,N,Pauline Hanson's One Nation,ON,6452
183,Grey,Suzanne,WATERS,2,N,United Australia Party,UAPP,5781
183,Grey,Peter,MILLER,3,N,Liberal Democrats,LDP,1427
183,Grey,Liz,HABERMANN,4,N,Independent,IND,11613
183,Grey,Julie,WATSON,5,N,Australian Labor Party,ALP,22068
183,Grey,Tracey,DEMPSEY,7,N,Australian Federation Party,CYA,721
183,Grey,Richard,CARMODY,8,N,Independent,IND,1332
183,Grey,Rowan,RAMSEY,9,Y,Liberal,LP,46730
183,Grey,Informal,Informal,999,N,Independent,,7674
185,Hindmarsh,Patrick,O'SULLIVAN,1,N,The Greens,GRN,15310
185,Hindmarsh,Anna,FINIZIO,2,N,Liberal,LP,36072
185,Hindmarsh,Walter,JOHNSON,3,N,Pauline Hanson's One Nation,ON,4341
185,Hindmarsh,Mark,BUTLER,4,Y,Australian Labor Party,ALP,46547
185,Hindmarsh,Dianne,RICHARDS,5,N,Australian Federation Party,CYA,653
185,Hindmarsh,George,MELISSOURGOS,6,N,United Australia Party,UAPP,3896
185,Hindmarsh,Jamie,WITT,7,N,The Great Australian Party,GAP,1184
185,Hindmarsh,Matt,PASTRO,8,N,Animal Justice Party,AJP,2340
185,Hindmarsh,Informal,Informal,999,N,Independent,,6686
186,Kingston,Rob,DE JONGE,1,N,Independent,IND,2963
186,Kingston,Robert,GODFREY-BROWN,2,N,Pauline Hanson's One Nation,ON,5313
186,Kingston,Russell,JACKSON,3,N,United Australia Party,UAPP,4321
186,Kingston,Amanda,RISHWORTH,4,Y,Australian Labor Party,ALP,53810
186,Kingston,John,PHOTAKIS,5,N,The Greens,GRN,13603
186,Kingston,Sam,ENRIGHT,6,N,Australian Federation Party,CYA,1079
186,Kingston,Kathleen,BOURNE,7,N,Liberal,LP,28273
186,Kingston,Informal,Informal,999,N,Independent,,4336
187,Makin,Abram Nicholas,LAZOOTIN,1,N,Australian Federation Party,CYA,1907
187,Makin,Tony,ZAPPIA,2,Y,Australian Labor Party,ALP,49843
187,Makin,Kimberley,DROZDOFF,3,N,United Australia Party,UAPP,4638
187,Makin,Rajan,VAID,4,N,Pauline Hanson's One Nation,ON,5097
187,Makin,Alan,HOWARD-JONES,5,N,Liberal,LP,33840
187,Makin,Emma,MUSTACA,6,N,The Greens,GRN,12317
187,Makin,Informal,Informal,999,N,Independent,,4639
188,Mayo,Marisa,BELL,1,N,Australian Labor Party,ALP,21051
188,Mayo,Padma,CHAPLIN,2,N,Animal Justice Party,AJP,1929
188,Mayo,Jacob,VAN RAALTE,3,N,Liberal Democrats,LDP,1424
188,Mayo,Rebekha,SHARKIE,4,Y,Centre Alliance,XEN,36500
188,Mayo,Greg,ELLIOTT,5,N,The Greens,GRN,13705
188,Mayo,Allison,BLUCK,6,N,Liberal,LP,31411
188,Mayo,Samantha,McGRAIL,7,N,United Australia Party,UAPP,4089
188,Mayo,Tonya,SCOTT,8,N,Pauline Hanson's One Nation,ON,4775
188,Mayo,Mark,NEUGEBAUER,9,N,Australian Federation Party,CYA,1330
188,Mayo,Informal,Informal,999,N,Independent,,6176
325,Spence,Alvin Eric,WARREN,1,N,United Australia Party,UAPP,7158
325,Spence,Matt,BURNELL,2,Y,Australian Labor Party,ALP,46596
325,Spence,David,DEEX,3,N,The Greens,GRN,12052
325,Spence,Matilda,BAWDEN,4,N,Australian Federation Party,CYA,1736
325,Spence,Shawn,LOCK,5,N,Liberal,LP,27153
325,Spence,Linda,CHAMPION,6,N,Pauline Hanson's One Nation,ON,11532
325,Spence,Informal,Informal,999,N,Independent,,5534
190,Sturt,Katie,McCUSKER,1,N,The Greens,GRN,18454
190,Sturt,Sonja,BARAM,2,N,Australian Labor Party,ALP,34528
190,Sturt,Chris,SCHMIDT,3,N,TNL,TNL,251
190,Sturt,Alexander,ALLWOOD,4,N,Pauline Hanson's One Nation,ON,2893
190,Sturt,Angela,FULCO,5,N,Australian Progressives,AUP,457
190,Sturt,Stephen,GRANT,6,N,United Australia Party,UAPP,3008
190,Sturt,Kathy,SCARBOROUGH,7,N,Australian Federation Party,CYA,755
190,Sturt,David,SHERLOCK,8,N,Animal Justice Party,AJP,1531
190,Sturt,Thomas,McMAHON,9,N,Liberal Democrats,LDP,1147
190,Sturt,Inty,ELHAM,10,N,Drew Pavlou Democratic Alliance,DPDA,1007
190,Sturt,James,STEVENS,11,Y,Liberal,LP,48579
190,Sturt,Informal,Informal,999,N,Independent,,6541
192,Bass,George,RAZAY,1,N,Independent,IND,3450
192,Bass,Bob,SALT,2,N,Jacqui Lambie Network,JLN,4587
192,Bass,Cecily,ROSOL,3,N,The Greens,GRN,7614
192,Bass,Bridget Kathleen,ARCHER,4,Y,Liberal,LP,27257
192,Bass,Alison,BAKER,5,N,Animal Justice Party,AJP,969
192,Bass,Stephen,HUMBLE,6,N,Liberal Democrats,LDP,732
192,Bass,Kyle,SQUIBB,7,N,United Australia Party,UAPP,1140
192,Bass,Melanie,DAVY,8,N,Pauline Hanson's One Nation,ON,3230
192,Bass,Ross,HART,9,N,Australian Labor Party,ALP,19630
192,Bass,Informal,Informal,999,N,Independent,,4324
193,Braddon,Ludo,MINEUR,1,N,Pauline Hanson's One Nation,ON,3065
193,Braddon,Darren,BRIGGS,2,N,The Greens,GRN,4745
193,Braddon,Gavin,PEARCE,3,Y,Liberal,LP,31142
193,Braddon,Scott,RANKIN,4,N,The Local Party,TLOC,719
193,Braddon,Chris,LYNCH,5,N,Australian Labor Party,ALP,15886
193,Braddon,Darren Scott,BOBBERMIEN,6,N,United Australia Party,UAPP,1000
193,Braddon,Craig Anthony,GARLAND,7,N,Independent,IND,5538
193,Braddon,Keone Patrick,MARTIN,8,N,Animal Justice Party,AJP,566
193,Braddon,Sophie,LEHMANN,9,N,Jacqui Lambie Network,JLN,6966
193,Braddon,Duncan,WHITE,10,N,Liberal Democrats,LDP,971
193,Braddon,Informal,Informal,999,N,Independent,,5858
319,Clark,Michelle,CAMERON,1,N,Pauline Hanson's One Nation,ON,1715
319,Clark,Simon,DAVIS,2,N,Australian Labor Party,ALP,12364
319,Clark,Ian,RAMSDEN,3,N,Liberal Democrats,LDP,739
319,Clark,Will,COATS,4,N,Liberal,LP,10441
319,Clark,Janet,SHELLEY,5,N,The Greens,GRN,8861
319,Clark,Andrew,WILKIE,6,Y,Independent,IND,30005
319,Clark,Casey,DAVIES,7,N,Animal Justice Party,AJP,828
319,Clark,Sandra,GALLOWAY,8,N,United Australia Party,UAPP,941
319,Clark,Informal,Informal,999,N,Independent,,2924
195,Franklin,Anna,BATEMAN,1,N,The Local Party,TLOC,3535
195,Franklin,Julie,COLLINS,2,Y,Australian Labor Party,ALP,26147
195,Franklin,Duane,PITT,3,N,Liberal Democrats,LDP,1434
195,Franklin,Steve,HINDLEY,4,N,Pauline Hanson's One Nation,ON,2033
195,Franklin,Lisa,MATTHEWS,5,N,United Australia Party,UAPP,1380
195,Franklin,Chris,HANNAN,6,N,Jacqui Lambie Network,JLN,4215
195,Franklin,Kristy Maree,JOHNSON,7,N,Liberal,LP,19048
195,Franklin,Katrina,LOVE,8,N,Animal Justice Party,AJP,1097
195,Franklin,Jade,DARKO,9,N,The Greens,GRN,12370
195,Franklin,Informal,Informal,999,N,Independent,,3696
196,Lyons,Susie,BOWER,1,N,Liberal,LP,27296
196,Lyons,Rhys,GRIFFITHS,2,N,Liberal Democrats,LDP,1188
196,Lyons,Brian,MITCHELL,3,Y,Australian Labor Party,ALP,21295
196,Lyons,Anna Megan,GRALTON,4,N,Animal Justice Party,AJP,1312
196,Lyons,Jason,EVANS,5,N,United Australia Party,UAPP,1976
196,Lyons,Troy Robert,PFITZNER,6,N,Jacqui Lambie Network,JLN,7962
196,Lyons,Emma Jane,GOYNE,7,N,Pauline Hanson's One Nation,ON,3927
196,Lyons,Liz,JOHNSTONE,8,N,The Greens,GRN,8382
196,Lyons,Informal,Informal,999,N,Independent,,4932
197,Aston,Rebekah Jane,SPELMAN,1,N,United Australia Party,UAPP,5990
197,Aston,Alan,TUDGE,2,Y,Liberal,LP,42260
197,Aston,Asher,COOKSON,3,N,The Greens,GRN,11855
197,Aston,Ryan,BRUCE,4,N,TNL,TNL,973
197,Aston,Craig,IBBOTSON,5,N,Pauline Hanson's One Nation,ON,3022
197,Aston,Liam,ROCHE,6,N,Liberal Democrats,LDP,2111
197,Aston,Mary,DOYLE,7,N,Australian Labor Party,ALP,31949
197,Aston,Informal,Informal,999,N,Independent,,3320
198,Ballarat,John,BARNES,1,N,The Greens,GRN,14076
198,Ballarat,Ben,GREEN,2,N,Liberal,LP,26142
