DivisionID,DivisionNm,GivenNm,Surname,PartyNm,PartyAb
245,Perth,Patrick,GORMAN,Australian Labor Party,ALP
175,Petrie,Luke,HOWARTH,Liberal National Party of Queensland,LNP
176,Rankin,Jim,CHALMERS,Australian Labor Party,ALP
144,Reid,Sally,SITOU,Australian Labor Party,ALP
145,Richmond,Justine,ELLIOT,Australian Labor Party,ALP
250,Riverina,Michael,McCORMACK,The Nationals,NP
146,Robertson,Gordon,REID,Australian Labor Party,ALP
177,Ryan,Elizabeth,WATSON-BROWN,The Greens,GRN
232,Scullin,Andrew,GILES,Australian Labor Party,ALP
148,Shortland,Pat,CONROY,Australian Labor Party,ALP
307,Solomon,Luke,GOSLING,Australian Labor Party,ALP
325,Spence,Matt,BURNELL,Australian Labor Party,ALP
190,Sturt,James,STEVENS,Liberal,LP
247,Swan,Zaneta,MASCARENHAS,Australian Labor Party,ALP
149,Sydney,Tanya,PLIBERSEK,Australian Labor Party,ALP
248,Tangney,Sam,LIM,Australian Labor Party,ALP
233,Wannon,Dan,TEHAN,Liberal,LP
151,Warringah,Zali,STEGGALL,Independent,IND
251,Watson,Tony,BURKE,Australian Labor Party,ALP
152,Wentworth,Allegra,SPENDER,Independent,IND
153,Werriwa,Anne Maree,STANLEY,Australian Labor Party,ALP
150,Whitlam,Stephen,JONES,Australian Labor Party,ALP
178,Wide Bay,Llew,O'BRIEN,Liberal National Party of Queensland,LNP
234,Wills,Peter,KHALIL,Australian Labor Party,ALP
316,Wright,Scott,BUCHHOLZ,Liberal National Party of Queensland,LNP
